사원번호,이름,나이,부서,등록날짜
2318,장영일,35,신발제조기 조작원 및 조립원,2020-07-27
6741,김영식,50,의복/가죽 및 모피 수선원,2022-08-22
4275,조상현,33,상품중개인 및 경매사,2023-01-26
8954,나성민,23,건설 배관공,2021-09-29
7347,김예원,58,섬유제조 기계조작원,2022-04-19
4258,장지우,64,조적공 및 석재 부설원,2024-02-18
7131,장준혁,24,경영 및 진단 전문가,2020-01-19
1228,권영일,41,간병인,2022-04-01
5491,서미경,42,건축 석공,2020-05-30
2949,이하은,50,사진인화 및 현상기 조작원,2023-05-12
7052,박윤서,24,공예원,2022-06-24
7795,박지훈,27,음료 제조관련 기계 조작원,2021-03-14
6999,장수빈,48,방수공,2023-02-16
2532,홍하윤,29,영상 및 관련 장비 설치 및 수리원,2023-03-21
3425,이영일,24,전자공학 기술자 및 연구원,2024-05-25
7434,문진우,53,하역 및 적재 단순 종사원,2022-03-13
5271,김혜진,63,운송관련 관리자,2024-04-09
5048,김영환,25,제품 생산관련 관리자,2024-06-15
6917,김지민,32,기타 주방장 및 조리사,2022-02-28
6808,엄상호,22,보험 심사원 및 사무원,2024-06-13
1683,김경자,38,정보 시스템 운영자,2023-10-31
3851,박순자,34,경영지원 관리자,2022-01-22
9073,백영길,42,컴퓨터 보안 전문가,2024-05-12
4562,김선영,31,환경 미화원 및 재활용품 수거원,2020-10-11
8955,이정순,46,임산물채취 및 기타 임업 관련 종사원,2021-07-28
4914,주성수,33,외선전공,2023-02-16
1027,김정숙,56,제조관련 단순 종사원,2024-05-08
3558,안숙자,27,소방공학 기술자 및 연구원,2022-08-31
1768,한정호,36,상담 전문가 및 청소년 지도사,2023-05-01
7273,황숙자,61,전자 부품 및 제품 제조 기계조작원,2023-06-20
4290,엄영희,63,웹 및 멀티미디어 기획자,2021-05-20
5076,남지후,54,보조 교사 및 기타 교사,2022-07-10
7994,김승민,30,여행 및 관광통역 안내원,2023-10-11
2921,최정호,65,환경공학 시험원,2021-08-25
5844,장지영,25,기타 배달원,2020-11-02
6334,송정남,50,택시 운전원,2022-12-26
2265,김병철,31,도금 및 금속분무기 조작원,2021-03-26
3812,김지영,46,경량 철골공,2021-05-22
9683,서하은,34,제품 생산관련 관리자,2021-10-02
9951,송준서,27,상담 전문가 및 청소년 지도사,2023-11-18
7159,박은정,40,기타 경호 및 보안 관련 종사원,2021-07-16
9571,차혜진,54,대학 교수,2021-05-04
7678,김영순,57,기타 서비스관련 단순 종사원,2023-12-28
3962,김현숙,26,보험 설계사 및 간접투자증권 판매인,2020-07-31
6047,백영진,58,물리 및 작업 치료사,2021-02-10
5383,장민준,46,건설 및 광업 단순 종사원,2020-07-10
5762,류준혁,51,화학제품 생산기 조작원,2021-07-20
5847,김미정,53,기타 직물 및 신발 관련 기계조작원 및 조립원,2021-03-03
1814,김숙자,33,곡식작물 재배원,2022-02-13
8624,안영호,36,응급구조사,2024-05-21
9641,서현우,60,상점 판매원,2023-09-27
1700,이병철,62,냉/난방 관련 설비 조작원,2022-09-01
7149,이영수,37,법률/경찰/소방 및 교도 관리자,2021-11-06
4023,노명숙,43,기계공학 기술자 및 연구원,2020-07-26
6621,김옥순,34,컴퓨터 하드웨어 기술자 및 연구원,2022-12-09
8560,권순자,45,재활용 처리 및 소각로 조작원,2022-10-18
7041,이수진,36,감독 및 기술감독,2021-08-24
8793,김서윤,51,기타 배관공,2023-03-23
7176,허준호,30,모피 및 가죽의복 제조원,2021-11-26
4740,한명자,25,부동산 컨설턴트 및 중개인,2020-09-30
1589,이은주,28,애완동물 미용사,2020-08-15
6341,장경희,37,경비원,2021-05-24
1978,김성민,58,음식 배달원,2021-04-07
8325,손준서,65,기타 종교관련 종사자,2022-08-04
9866,류도현,33,섬유공학 기술자 및 연구원,2021-02-08
1874,김유진,36,기타 행정 및 경영지원 관리자,2021-01-25
7331,양성호,32,작가 및 관련 전문가,2024-05-05
9565,권유진,49,보험 및 금융 관리자,2023-03-15
8856,오영일,46,자동차 조립원,2021-02-25
7492,양정수,52,곡물가공제품 기계 조작원,2020-07-05
8704,안진호,36,해외 영업원,2024-06-13
9259,김하은,52,냉동/냉장 /공조기 설치 및 정비원,2022-08-17
2309,손서영,62,통계관련 사무원,2022-09-13
1438,이준영,23,법무사 및 집행관,2024-06-06
1470,김지혜,42,대학 시간강사,2022-12-11
3232,양하윤,34,네트워크시스템 개발자,2020-10-16
6844,박우진,26,정부 및 공공 행정 전문가,2021-06-27
9628,진정훈,30,강구조물 가공원 및 건립원,2022-06-04
3739,홍경희,58,영상/녹화 및 편집 기사,2023-05-16
1342,송선영,43,발전 및 배전장치 조작원,2023-09-25
5483,김성수,47,안경사,2020-01-14
4147,김정훈,45,,2021-02-01
1111,박동현,27,음식서비스관련 관리자,2024-06-29
2988,박하은,35,여행상품 개발자,2023-11-28
3148,손민재,48,기타 미용관련 서비스 종사원,2022-06-19
5419,이도윤,34,컴퓨터 하드웨어 기술자 및 연구원,2022-11-02
5350,박영철,43,조명기사 및 영사기사,2022-05-08
8086,윤미숙,60,악기제조 및 조율사,2024-05-02
5057,안지후,26,농업용 및 기타 기계장비 설치 및 정비원,2020-10-07
8022,강현준,49,단조원,2022-08-04
5918,김영환,23,영상/녹화 및 편집 기사,2022-07-08
8921,최준혁,55,유치원 교사,2021-12-23
3264,김명자,65,직조기 및 편직기 조작원,2022-04-06
3638,김성현,58,냉동/냉장 /공조기 설치 및 정비원,2023-12-17
3492,김아름,52,발전 및 배전장치 조작원,2024-04-23
2451,노혜진,26,양식 주방장 및 조리사,2023-04-01
7628,김상현,43,생산 및 품질 관리 사무원,2023-12-15
6377,김정희,22,주조원,2021-12-13
9465,최현주,47,공업 배관공,2022-01-02
6657,김미정,55,공업기계 설치 및 정비원,2022-12-07
